id,name,version,size_mb,last_updated,store_url,download_url,error
gcalenpjmijncebpfiojcommlgcdbibn,未知,未知,0.0,未知,https://chromewebstore.google.com/detail/gcalenpjmijncebpfiojcommlgcdbibn,https://clients2.google.com/service/update2/crx?response=redirect&x=id%3Dgcalenpjmijncebpfiojcommlgcdbibn%26uc,
cjpalhdlnbpafiamejdnhcphjbkeiagm,未知,未知,0.0,未知,https://chromewebstore.google.com/detail/cjpalhdlnbpafiamejdnhcphjbkeiagm,https://clients2.google.com/service/update2/crx?response=redirect&x=id%3Dcjpalhdlnbpafiamejdnhcphjbkeiagm%26uc,
bgnkhhnnamicmpeenaelnandbfafkfpb,未知,未知,0.0,未知,https://chromewebstore.google.com/detail/bgnkhhnnamicmpeenaelnandbfafkfpb,https://clients2.google.com/service/update2/crx?response=redirect&x=id%3Dbgnkhhnnamicmpeenaelnandbfafkfpb%26uc,
